Id,GardId,Disease,PMId,Publication Types,Title,URL,Abstract,Natural History Study
10,GARD:0000012,Hypersensitivity pneumonitis,31504978,"['Review', 'Journal Article']",Methotrexate and interstitial lung disease: controversies and questions. A narrative review of the literature.,https://pubmed.ncbi.nlm.nih.gov/31504978,"MTX, which is the anchor-drug for the treatment of RA, has been associated with lung injury and in particular with MTX-related pneumonitis (M-pneu). Although the frequency of M-pneu has been reported to range between 0.3 and 11.6%, more recent studies and meta-analyses have challenged that, suggesting that it is less common than previously thought. M-pneu is considered a hypersensitivity reaction usually occuring early after MTX commencement, and to be dose-independent. Furthermore, it does not seem to be truly related to the development of interstitial lung disease observed in some patients as part of the natural history of RA (RA-ILD). On the other hand, there are data suggesting that clinicians should be cautious when commencing MTX in patients with pre-existing lung disease. However, treatment should not be delayed or limited in progressive RA that could lead to RA-ILD, and MTX remains one of the central players in the treat-to-target approach. In this review, we aimed to summarize the current evidence from observational studies and clinical trials on lung disease in MTX-treated RA patients. We focus the discussion on the lack of association between M-pneu and RA-ILD.",
11,GARD:0000012,Hypersensitivity pneumonitis,30871560,"['review-article', 'Review', 'Journal Article']",The natural history of progressive fibrosing interstitial lung diseases.,https://pubmed.ncbi.nlm.nih.gov/30871560,"A proportion of patients with certain types of interstitial lung disease (ILD), including chronic hypersensitivity pneumonitis and ILDs associated with autoimmune diseases, develop a progressive fibrosing phenotype that shows similarities in clinical course to idiopathic pulmonary fibrosis. Irrespective of the clinical diagnosis, these progressive fibrosing ILDs show commonalities in the underlying pathogenetic mechanisms that drive a self-sustaining process of pulmonary fibrosis. The natural history of progressive fibrosing ILDs is characterized by decline in lung function, worsening of symptoms and health-related quality of life, and early mortality. Greater impairment in forced vital capacity or diffusion capacity of the lungs for carbon monoxide, and a greater extent of fibrotic changes on a computed tomography scan, are predictors of mortality in patients with fibrosing ILDs. However, the course of these diseases is heterogenous and cannot accurately be predicted for an individual patient. Data from ongoing clinical trials and patient registries will provide a better understanding of the clinical course and impact of progressive fibrosing ILDs.",
12,GARD:0000012,Hypersensitivity pneumonitis,29793770,"['Review', 'Journal Article']",[The respiratory effects of smoking].,https://pubmed.ncbi.nlm.nih.gov/29793770,"A marked increase in the morbidity and mortality of a large number of broncho-pulmonary diseases has been documented in relation to smoking. The influence of tobacco smoking on various respiratory conditions. is discussed: incidence, severity or natural history modification of some respiratory illnesses: obstructive lung diseases (COPD, asthma), lung cancer, bacterial, viral respiratory infections, with the impact of smoking on tuberculosis. Finally, the relationship of tobacco with diffuse interstitial lung disease: protective role of smoking (controversial in sarcoidosis, real in hypersensitivity pneumonitis). The benefits of smoking cessation are described.",
13,GARD:0000012,Hypersensitivity pneumonitis,29755982,"['review-article', 'Review', 'Journal Article']",Clinical Genetics in Interstitial Lung Disease.,https://pubmed.ncbi.nlm.nih.gov/29755982,"Interstitial lung disease (ILD) comprises a heterogeneous group of diffuse parenchymal lung processes with overlapping clinical, radiographic, and histopathologic features. Among the most common and deadly ILDs are idiopathic pulmonary fibrosis (IPF) and chronic hypersensitivity pneumonitis (CHP). As the name implies, the cause of IPF remains elusive, but a variety of genetic and infectious risk factors have been identified. CHP results from chronic inhalation of an organic antigen, usually of avian or mold origin, and may occur in patients with a genetic predisposition. While IPF is treated with anti-fibrotic compounds, CHP is generally treated by suppression of the immune system and elimination of the causative antigen. Despite advances in our understanding of IPF and CHP, there exists substantial variability in the diagnosis and treatment of these disease processes. Furthermore, IPF and CHP natural history and treatment response remain far from uniform, leaving it unclear which patients derive the most benefit from disease-specific therapy. While clinical prediction models have improved our understanding of outcome risk in patients with various forms of ILD, recent advances in genomic technology provides a valuable opportunity to begin understanding the basis for outcome variability. Such advances will ultimately allow for the incorporation of genomic markers into risk stratification and clinical decision-making. In this piece, we highlight recent advances in our understanding of the genomic factors that influence susceptibility and outcome risk among patients with IPF and CHP. Genomic modalities used to identify these genomic markers include genome-wide association studies, analyses of gene expression, drug-gene interaction testing, telomere length determination, telomerase mutation analysis, and studies of the lung microbiome. We then identify gaps in knowledge that should be addressed to help facilitate the incorporation of these genomic technologies into ILD clinical practice.",
14,GARD:0000016,Oculomotor apraxia Cogan type,31103357,"['Review', 'Journal Article']",Interstitial keratitis diagnosis and treatment.,https://pubmed.ncbi.nlm.nih.gov/31103357,"Interstitial keratitis is a non-ulcerative, non-suppurative, more or less vascularized inflammation of the corneal stroma. The corneal lesions result from the host response to bacterial, viral (40% of cases) or parasitic antigens, or from an autoimmune response (1% of cases) without active corneal infection. The natural history of the disease is divided into two phases: acute and cicatricial. This type of keratitis is less common than ulcerative bacterial keratitis, but it is a non-negligible cause of visual loss. It is associated with systemic or infectious disease and requires early diagnosis and appropriate treatment to optimize visual prognosis and avoid other complications.",
15,GARD:0000017,Arachnoid cysts,30898748,['Journal Article'],Natural History of Intracranial Arachnoid Cysts.,https://pubmed.ncbi.nlm.nih.gov/30898748,"BACKGROUND:Intracranial arachnoid cysts are a common incidental finding. Most of these remain asymptomatic with surgical intervention being reserved for those cysts causing symptoms from mass effect or hydrocephalus. It is not properly understood why cysts enlarge nor is it possible to predict in which cysts this will occur. The aim of this study is to review the natural history of incidental arachnoid cysts. METHODS:A retrospective case review was conducted of all patients diagnosed with an arachnoid cyst between 2007 and 2016. Case notes and radiology reports were reviewed for demographics, symptoms, and changes in cyst sizes. RESULTS:Four hundred and eighty-five patients were diagnosed with an arachnoid cyst during this time period; of these, 425 (87.6%) were asymptomatic. Patients with symptomatic cysts were significantly younger and more likely to have associated hydrocephalus. The most common indications for imaging which resulted in the diagnosis of the cyst were headaches (n = 106), stroke (n = 51), and seizures (n = 41). The cyst size remained stable or reduced in 147 patients (99.3%) with follow-up imaging (n = 148), and the enlarging cyst remained asymptomatic. CONCLUSIONS:Asymptomatic arachnoid cysts have a low rate of cyst enlargement on follow-up imaging, which supports not routinely imaging these patients. However, serial imaging and surgery may still be indicated in asymptomatic patients at risk of obstructive hydrocephalus which, in this series, was only seen in the pediatric population. A better understanding of the natural history of intracranial arachnoid cysts allows for more efficient follow-up planning.",
16,GARD:0000017,Arachnoid cysts,30815323,"['review-article', 'Review', 'Journal Article']",Intracranial arachnoid cysts: Pediatric neurosurgery update.,https://pubmed.ncbi.nlm.nih.gov/30815323,"Background:With the greater worldwide availability of neuroimaging, more intracranial arachnoid cysts (IACs) are being found in all age groups. A subset of these lesions become symptomatic and requires neurosurgical management. The clinical presentations of IACs vary from asymptomatic to extremely symptomatic. Here, we reviewed the clinical presentation and treatment considerations for pediatric IACs. Case Description:Here, we presented three cases of IAC, focusing on different clinical and treatment considerations. Conclusion:IACs can be challenging to manage. There is no Class I Evidence to guide how these should be treated. We suggest clinical decision-making framework as to how to treat IACs based on our understanding of the natural history, risks/benefits of treatments, and outcomes in the future, require better patient selection for the surgical management of IACs will be warranted.",
17,GARD:0000017,Arachnoid cysts,30209599,"['Review', 'Journal Article', 'Case Reports']",Is arachnoid cyst a static disease? A case report and literature review.,https://pubmed.ncbi.nlm.nih.gov/30209599,"INTRODUCTION:The increasing use of intracranial imaging has led to more frequent diagnoses of arachnoid cysts (ACs). Although ACs are a frequent finding on neuroimaging in children, the prevalence and natural history of these cysts are not well defined. Most ACs may persist and remain asymptomatic throughout life and not require treatment. However, there have been some case reports of ACs that have become larger or smaller over time and, in rare cases, have even spontaneously resolved. It is the authors' practice to recommend serial neuroimaging in patients with asymptomatic sylvian ACs and not offer surgery to patients without symptoms, even in those with a relatively large cyst. CASE REPORT:The present article describes a case involving a 6-year-old boy with a large, asymptomatic AC in the left Sylvian fissure involving the temporo-frontal region, which resolved spontaneously during the 2-year follow-up period after initial diagnosis without any surgical intervention. Currently, at the 7-year follow-up, the patient has remained neurologically intact, attends school, and is symptom-free. CONCLUSION:Clinicians should be mindful of the possibility of spontaneous regression when encountering patients with asymptomatic and/or incidentally diagnosed sylvian ACs.",
18,GARD:0000017,Arachnoid cysts,29492139,"['Case Reports', 'case-report']",Nontraumatic Subdural Hematoma and Intracystic Hemorrhage Associated with a Middle Fossa Arachnoid Cyst.,https://pubmed.ncbi.nlm.nih.gov/29492139,"Intracranial arachnoid cysts (ACs) are relatively common findings that can be seen in up to 2% of patients. They are generally found incidentally with a benign clinical course and can be usually managed by observation. We report an unusual case of a middle fossa AC presenting with spontaneous intracystic hemorrhage along with subdural hematoma (SDH) causing significant mass effect and midline shift requiring surgical treatment. Even though the risk of hemorrhage in patients with AC is very low, the presence of AC is a known risk factor for SDH. Fortunately, the clinical outcome of patients who present with hemorrhage associated with AC is generally favorable with early recognition and prompt surgical treatment. Our case highlights the fact that both intracystic hemorrhage and SDH can occur in association with AC even in the absence of trauma and should be kept in mind when counseling patients with incidental AC about the natural history of these lesions.",
19,GARD:0000017,Arachnoid cysts,28848171,"['Review', 'Journal Article', 'Case Reports']",Resolution of Middle Fossa Arachnoid Cyst after Minor Head Trauma - Stages of Resolution on MRI: Case Report and Literature Review.,https://pubmed.ncbi.nlm.nih.gov/28848171,"Arachnoid cysts (ACs) are frequently encountered in pediatric neurosurgical practice. Their natural history and optimum treatment are not well determined. The authors describe a resolution of asymptomatic middle fossa AC after trivial head trauma in a 7-year-old child. Intracystic bleeding was noticed on interval MRI. Serial MRI follow-up demonstrates stages of resolution of the AC that did not require surgical intervention. Few cases of nonsurgical AC disappearance have been reported, much fewer with trauma as a triggering factor. Here, we present the stages of resolution in images.",
20,GARD:0000020,Barrett esophagus,30481513,['Journal Article'],Prevalence and Natural History of Barrett's Esophagus in Lung Transplant: A Single-Center Experience.,https://pubmed.ncbi.nlm.nih.gov/30481513,"BACKGROUND:Barrett's esophagus (BE)-intestinal metaplasia in the esophagus-may progress to low-grade dysplasia (LGD), high-grade dysplasia (HGD), and ultimately, invasive esophageal adenocarcinoma (EAC). The course of BE in immunosuppressed lung transplant recipients is unknown. METHODS:This study retrospectively reviewed the records of patients who underwent lung transplant at a single center, Norton Thoracic Institute in Phoenix, Arizona, between January 1, 2010 and October 31, 2016. Pretransplant esophagram, esophagogastroduodenoscopy, 24-hour pH monitoring, high-resolution manometry, and gastric emptying studies were analyzed. RESULTS:Of the 466 patients who underwent lung transplant during the study period, 54 (11.59%) had BE on pretransplant esophagogastroduodenoscopy. Of these, 1 patient had HGD before lung transplant. The median age of patients was 64 years (interquartile range, 58.25 to 68.75 years); 66.7% were men. Median follow-up duration was 29.48 months (interquartile range, 19.69 to 37.98 months). Sixteen of 54 patients (29.62%) underwent antireflux surgery after lung transplant. LGD or EAC developed in 3 patients during posttransplant surveillance. One patient had a diagnosis of HGD 24 months after retransplant. She underwent complete endoscopic ablation and was dysplasia-free for 5 months, but ultimately the condition recurred, and she underwent esophagectomy for invasive cancer. Two patients had a diagnosis of LGD 7 and 13 months after lung transplant and were successfully treated with radiofrequency ablation. The rate of progression to dysplasia or EAC was 2.3% per patient-year. CONCLUSIONS:BE seems to be more prevalent in lung transplant recipients than in the general population. The study findings suggest that patients with BE have a higher risk of BE-to-EAC progression after lung transplant and that HGD may progress rapidly in immunosuppressed patients. More intensive surveillance endoscopy may be required in patients with BE after lung transplant.",
21,GARD:0000020,Barrett esophagus,30069679,"['Review', 'Journal Article']",The Esophageal Microbiome in Health and Disease.,https://pubmed.ncbi.nlm.nih.gov/30069679,"PURPOSE OF REVIEW:Investigation of the esophageal microbiome is a relatively new field. This review will outline data characterizing the esophageal microbiome in both health and disease states, including gastroesophageal reflux disease (GERD), Barrett's esophagus, esophageal cancer, eosinophilic esophagitis, and motility disorders. RECENT FINDINGS:While the esophagus was previously considered devoid of a significant bacterial population, development of culture-independent techniques, specifically 16S rRNA gene sequencing, as well as novel, minimally invasive microbial sampling modalities, has facilitated characterization of the esophageal microbiome in both health and several disease states. Although limited, there is evidence that the esophagus contains a diverse microbial population, with Gram-positive bacteria, specifically Streptococcus, dominating in health, while Gram-negative bacteria prevail in reflux disorders including GERD and Barrett's esophagus. The microbiome is altered with other esophageal disorders as well, including eosinophilic esophagitis and esophageal motility disorders, though these changes have been less well characterized. Characterization of the gut microbiome has advanced significantly; however, further investigation is essential. Understanding changes in the esophageal microbiome could affect our understanding of the natural history of diseases of the esophagus and present potential therapeutic approaches.",
22,GARD:0000020,Barrett esophagus,29905908,"['review-article', 'Review', 'Journal Article']",Natural History of Barrett's Esophagus.,https://pubmed.ncbi.nlm.nih.gov/29905908,"Barrett's esophagus (BE) is a very common condition. We have obtained fairly profound knowledge of the natural history of this condition. This results from many cross-sectional and cohort studies, many describing patients undergoing long-term surveillance. Their consent to use their clinical data has improved our knowledge to the benefit of these same and other patients. The prevalence of BE increases with age both in men and in women. This increase starts at a younger age in men than in women. The incidence of high-grade dysplasia and cancer in BE depends on segment length, gender, and age. The latter two likely indicate the duration of the presence of BE in an individual patient. Other factors that influence the incidence of dysplasia and cancer are smoking behavior and use of certain medications such as PPIs, statins, and NSAIDs. Surveillance of BE and treatment of dysplasia can impact the incidence of and mortality due to esophageal adenocarcinoma. This is of major benefit to a subgroup of BE patients. The epidemiology and burden of disease ask for further efforts to develop targeted screening, surveillance, and intervention techniques in coming years.",
23,GARD:0000020,Barrett esophagus,29671157,"['Review', 'Journal Article', 'Research Support, N.I.H., Extramural']",Natural History of the Post-ablation Esophagus.,https://pubmed.ncbi.nlm.nih.gov/29671157,"Endoscopic ablative therapy including radiofrequency ablation (RFA) represents the preferred management strategy for dysplastic Barrett's esophagus (BE) and appears to diminish the risk of developing esophageal adenocarcinoma (EAC). Limited data describe the natural history of the post-ablation esophagus. Recent findings demonstrate that recurrent intestinal metaplasia (IM) following RFA is relatively frequent. However, dysplastic BE and EAC subsequent to the complete eradication of intestinal metaplasia (CEIM) are uncommon. Moreover, data suggest that the risk of recurrent disease is probably highest in the first year following CEIM. Recurrent IM and dysplasia are usually successfully eradicated with repeat RFA. Future studies may refine surveillance intervals and inform the length of time surveillance should be conducted following RFA with CEIM. Further data will also be necessary to understand the utility of chemopreventive strategies, including NSAIDs, in reducing the risk of recurrent disease.",
24,GARD:0000020,Barrett esophagus,28243981,"['Review', 'Journal Article']",Advances in the Diagnosis and Treatment of Barrett's Esophagus and Early Esophageal Cancer; Summary of the Kelly and Carlos Pellegrini SSAT/SAGES Luncheon Symposium.,https://pubmed.ncbi.nlm.nih.gov/28243981,"BACKGROUND:Patients with Barrett's esophagus (BE) are at increased risk of developing esophageal adenocarcinoma (EAC). The incidence of EAC is rising faster than any other cancer. DISCUSSION:Patients with BE have a 30- to 40-fold increased risk of EAC. In the past 20 years, there have been dramatic advances in our understanding of the incidence and natural history of BE. Endoscopic treatment of BE is evolving. Even early EAC has been treated without esophagectomy and good oncologic results in the modern era.",
