,gardid,disease,pmid,pubTypes,title,url,abstract
10,GARD:0002031,Dystrophinopathy,29614690,"[""Research Support, Non-U.S. Gov't"", 'research-article', 'Journal Article']",Characteristics of Japanese Patients with Becker Muscular Dystrophy and Intermediate Muscular Dystrophy in a Japanese National Registry of Muscular Dystrophy (Remudy): Heterogeneity and Clinical Variation.,https://pubmed.ncbi.nlm.nih.gov/29614690,"BACKGROUND:Obtaining an adequate number of patients to conduct a natural history study for rare diseases such as Becker muscular dystrophy (BMD) is difficult. OBJECTIVES:The present study used data from Remudy, a national registry for neuromuscular diseases in Japan, to conduct a phenotypic analysis of BMD. METHODS:We analyzed Remudy data of participants with dystrophinopathy. All participants who were aged 17 and older and were ambulant at age 13 were included in this study. Participants were divided into two groups: those with BMD who were ambulant at age 17, and those with intermediate muscular dystrophy (IMD) who lost ambulation by age 17. Frequent mutations were analyzed by age at ambulation, cardiopulmonary function, and genotype. For clinical comparisons, participants who were administered steroids were excluded. RESULTS:From July 2009 through September 2015, 192 participants had registered with Remudy. Mean participant age was 34.80±13.3 (range, 17-78) years, and 52.1% of participants were ambulant. Of the entire study population, 50.5% had cardiomyopathy and 35.9% had respiratory failure. Three participants required invasive ventilation and 30 required non-invasive ventilation. Nineteen of the 30 non-invasive ventilator users were part-time users. In total, 138 (71.9%) had BMD and 54 (28.1%) had IMD. The most frequent mutation was ex45_ex47del (36 participants). Among participants with frequent in-frame mutations, those with the ex45-49del mutation lost their ambulation earlier than those with the ex45_ex47del mutation. A total of 67 different exon deletions and duplications were identified in the study population. CONCLUSION:We clarified the clinical phenotypes of Japanese patients with BMD/IMD using data from Remudy. Our results suggest that not only IMD but also BMD are associated with risk of respiratory dysfunction."
11,GARD:0002031,Dystrophinopathy,29278896,"['Comparative Study', 'research-article', 'Randomized Controlled Trial', 'Journal Article']",Long-Term Pulmonary Function in Duchenne Muscular Dystrophy: Comparison of Eteplirsen-Treated Patients to Natural History.,https://pubmed.ncbi.nlm.nih.gov/29278896,"Duchenne muscular dystrophy (DMD) is a rare, degenerative, X-linked genetic disease that results in progressive muscle loss and premature death, most commonly from respiratory or cardiac failure. DMD is primarily caused by whole exon deletions, resulting in a shift of the dystrophin mRNA reading frame that prevents production of functional dystrophin protein. Eteplirsen, a phosphorodiamidate morpholino oligomer (PMO), is designed to skip exon 51, restore the reading frame, and induce production of internally shortened dystrophin in patients with mutations amenable to such treatment.Describe lung function assessed throughout eteplirsen studies 201/202.Studies 201/202 included 12 patients treated with eteplirsen over 5 years. Pulmonary function tests included forced vital capacity (FVC), maximum expiratory pressure (MEP), and maximum inspiratory pressure (MIP). With no long-term placebo control, FVC results were compared with data from the United Dystrophinopathy Project (UDP). MIP and MEP were compared to published natural history.Age-adjusted mixed-model repeated-measures analysis showed decreases of 2.3% and 2.6% annually for FVC% p and MEP% p, and an annual increase of 0.6% for MIP% p for the eteplirsen-treated cohort. Data from the UDP demonstrated a 4.1% decline in FVC% p. The published natural history reports annual declines of at least 2.7% and 3.8% for MEP% p and MIP% p, respectively, in patients with DMD.With eteplirsen treatment, deterioration of respiratory muscle function based on FVC% p was half of that seen in the UDP; MEP% p and MIP% p compared favorably with natural history."
12,GARD:0002031,Dystrophinopathy,27745838,"['brief-report', 'Journal Article']",Association Study of Exon Variants in the NF-κB and TGFβ Pathways Identifies CD40 as a Modifier of Duchenne Muscular Dystrophy.,https://pubmed.ncbi.nlm.nih.gov/27745838,"The expressivity of Mendelian diseases can be influenced by factors independent from the pathogenic mutation: in Duchenne muscular dystrophy (DMD), for instance, age at loss of ambulation (LoA) varies between individuals whose DMD mutations all abolish dystrophin expression. This suggests the existence of trans-acting variants in modifier genes. Common single nucleotide polymorphisms (SNPs) in candidate genes (SPP1, encoding osteopontin, and LTBP4, encoding latent transforming growth factor β [TGFβ]-binding protein 4) have been established as DMD modifiers. We performed a genome-wide association study of age at LoA in a sub-cohort of European or European American ancestry (n = 109) from the Cooperative International Research Group Duchenne Natural History Study (CINRG-DNHS). We focused on protein-altering variants (Exome Chip) and included glucocorticoid treatment as a covariate. As expected, due to the small population size, no SNPs displayed an exome-wide significant p value (< 1.8 × 10-6). Subsequently, we prioritized 438 SNPs in the vicinities of 384 genes implicated in DMD-related pathways, i.e., the nuclear-factor-κB and TGFβ pathways. The minor allele at rs1883832, in the 5'-untranslated region of CD40, was associated with earlier LoA (p = 3.5 × 10-5). This allele diminishes the expression of CD40, a co-stimulatory molecule for T cell polarization. We validated this association in multiple independent DMD cohorts (United Dystrophinopathy Project, Bio-NMD, and Padova, total n = 660), establishing this locus as a DMD modifier. This finding points to cell-mediated immunity as a relevant pathogenetic mechanism and potential therapeutic target in DMD."
13,GARD:0002032,EAF,26430388,"['research-article', 'Journal Article']",Evolutionary impact assessment: accounting for evolutionary consequences of fishing in an ecosystem approach to fisheries management.,https://pubmed.ncbi.nlm.nih.gov/26430388,"Managing fisheries resources to maintain healthy ecosystems is one of the main goals of the ecosystem approach to fisheries (EAF). While a number of international treaties call for the implementation of EAF, there are still gaps in the underlying methodology. One aspect that has received substantial scientific attention recently is fisheries-induced evolution (FIE). Increasing evidence indicates that intensive fishing has the potential to exert strong directional selection on life-history traits, behaviour, physiology, and morphology of exploited fish. Of particular concern is that reversing evolutionary responses to fishing can be much more difficult than reversing demographic or phenotypically plastic responses. Furthermore, like climate change, multiple agents cause FIE, with effects accumulating over time. Consequently, FIE may alter the utility derived from fish stocks, which in turn can modify the monetary value living aquatic resources provide to society. Quantifying and predicting the evolutionary effects of fishing is therefore important for both ecological and economic reasons. An important reason this is not happening is the lack of an appropriate assessment framework. We therefore describe the evolutionary impact assessment (EvoIA) as a structured approach for assessing the evolutionary consequences of fishing and evaluating the predicted evolutionary outcomes of alternative management options. EvoIA can contribute to EAF by clarifying how evolution may alter stock properties and ecological relations, support the precautionary approach to fisheries management by addressing a previously overlooked source of uncertainty and risk, and thus contribute to sustainable fisheries."
14,GARD:0002032,EAF,23135361,"['Historical Article', 'Journal Article']",New mite invasions in citrus in the early years of the 21st century.,https://pubmed.ncbi.nlm.nih.gov/23135361,"Several mite species commonly attack cultivated citrus around the world. Up to 104 phytophagous species have been reported causing damage to leaves, buds and fruits, but only a dozen can be considered major pests requiring control measures. In recent years, several species have expanded their geographical range primarily due to the great increase in trade and travel worldwide, representing a threat to agriculture in many countries. Three spider mite species (Acari: Tetranychidae) have recently invaded the citrus-growing areas in the Mediterranean region and Latin America. The Oriental red mite, Eutetranychus orientalis (Klein), presumably from the Near East, was detected in southern Spain in 2001. The Texas citrus mite, Eutetranychus banksi (McGregor), is widely distributed in North, Central and South America. It was first reported in Europe in 1999 on citrus in Portugal; afterwards the mite invaded the citrus orchards in southern Spain. In Latin America, the Hindustan citrus mite, Schizotetranychus hindustanicus (Hirst), previously known only from citrus and other host plants in India, was reported causing significant damage to citrus leaves and fruits in Zulia, northwest Venezuela, in the late 1990s. Later, this mite species spread to the southeast being detected on lemon trees in the state of Roraima in northern Brazil in 2008. Whereas damage levels, population dynamics and control measures are relatively well know in the case of Oriental red mite and Texas citrus mite, our knowledge of S. hindustanicus is noticeably scant. In the present paper, information on pest status, seasonal trends and natural enemies in invaded areas is provided for these species, together with morphological data useful for identification. Because invasive species may evolve during the invasion process, comparison of behavior, damage and management options between native and invaded areas for these species will be useful for understanding the invader's success and their ability to colonize new regions."
15,GARD:0002032,EAF,14980256,"['review-article', 'Review', 'Journal Article']","Respiratory syncytial virus: the virus, the disease and the immune response.",https://pubmed.ncbi.nlm.nih.gov/14980256,"RSV is the primary cause of hospitalisation in the first year of life for children in most parts of the world, and nearly 100% of children in the USA are infected with the virus by 2 to 3 years of age. The agent is an enveloped RNA virus with a non-segmented single-stranded negative-sense genome. The viral genome encodes 8 structural and 2 non-structural proteins. Important structural proteins include the fusion (F) protein and the attachment (G) protein which are essential for viral penetration and attachment to the host cells. Both proteins are important in development of immune responses. The virus is estimated to cause 3000 to 4000 deaths annually. Primary infections are as a rule symptomatic. The spectrum of clinical manifestations ranges from mild upper tract illness, infection in middle ear which progresses to acute otitis media, croup, to apnoea in premature infants, pneumonia and bronchiolitis. Premature babies born at 30-35 weeks of gestation, infants with cyanotic congenital heart disease, HIV-infected subjects, and patients on intensive immunosuppressive therapy especially after bone marrow transplant are considered to be at risk for increased mortality and morbidity during RSV infection. The virus does not normally replicate outside of the bronchopulmonary tree and the infection is exquisitely restricted to the respiratory mucosa. However, development of extrapulmonary disease has been observed in certain T and B cell immunodeficiency states. The association of RSV with asthma and reversible reactive airway disease in early childhood has attracted significant attention. Recurrent wheezing for up to 5 to 7 years of age and established airway disease has been observed in a significant number of children with a strong family history of allergy, after primary infection or reinfection with RSV. Immune response to primary infection is relatively small but on reinfection, a significant booster effect with sustained immunologic reactivity is observed in serum and respiratory mucosa. Both CD(4)- and CD(8)-specific as well as Th(1)- and Th(2)-cell specific immune responses have been observed during human infection. In addition, proinflammatory as well as immunoregulatory cytokines and chemokines are induced in the respiratory tract after natural and induced (in vitro) infection. Significant progress has been made in understanding the role of Th(1) vs. Th(2), IgE, viral induced cytokines and chemokines in the mechanisms of pathogenesis of the disease, development of wheezing and in the prevention and treatment of the infection and its sequelae. Respiratory syncytial virus (RSV) is one of the commonest human viral infections, and virtually every child is infected by the third birthday. Because of its restricted mucosal immunopathology, and frequent association with bronchial hyperreactivity and development of wheezing, RSV has served as an important model to investigate mechanisms of mucosal immune responses and development of mucosal disease following infection. The importance of RSV in bronchopulmonary disease and development of bronchial hyperreactivity has been the focus of several recent symposia [Kimpen JL, Simoes EAF. Am J Respir Crit Care Med 2001; 163:S1-S6]. This brief report will only summarise, based on selected references, the historical landmarks of its discovery and current understanding of the mechanisms of immunity, and their possible role in the pathogenesis of bronchopulmonary disease."
16,GARD:0002032,EAF,6140089,"[""Research Support, U.S. Gov't, P.H.S."", 'Journal Article']",The natural history and dose-response characteristics of enzyme-altered foci in rat liver following phenobarbital and diethylnitrosamine administration.,https://pubmed.ncbi.nlm.nih.gov/6140089,"Enzyme-altered foci (EAF) were induced in the liver of female rats by 70% partial hepatectomy (PH), followed by a single intragastric administration of diethylnitrosamine (DEN) at a dose of 10 mg/kg. The stability and response of these foci to various doses of the hepatic promoting agent, phenobarbital (PB), were studied. The number of gamma-glutamyltranspeptidase-positive (GGT+) EAF resulting from PH/DEN followed by PB (0.05%) administration for 1 week, 2 weeks, 1 month, 2 months, 3 months or 4 months did not significantly change when the administration of the promoting agent was followed by a 6-month period of a diet containing no PB. These data demonstrate the stability of the foci induced by the PH/DEN/PB regimen and indicate that the increased number of foci resulting from PB promotion in the absence of overt hepatic necrosis are not reversible on removal of the promoting stimulus. Chronic administration of dose levels of PB below 0.001% in the diet failed to demonstrate an increase in the number of EAF over the number in the control animals not promoted with PB. A linear increase in the number of EAF was observed when rats were chronically fed doses of PB ranging between 0.001% and 0.05% in the diet, whereas diet concentrations of PB greater than 0.05% did not result in any further increase in the number of EAF. The number of EAF resulting from PH/DEN followed by 0.05% PB in the diet increased during the first 3-4 months of promotion. Thereafter, the number of foci did not change despite the continued administration of PB for as long as 8 months. These data suggest the presence of an apparent threshold (no effect level) for promotion by PB and demonstrate the presence of a maximal response of EAF to this promoting agent after initiation by a single dose of DEN."
17,GARD:0002033,Meier-Gorlin syndrome,14564153,"['Journal Article', 'Case Reports']",Another adult with Meier-Gorlin syndrome--insights into the natural history.,https://pubmed.ncbi.nlm.nih.gov/14564153,"The Meier-Gorlin syndrome (MGS) is a rare autosomal recessive disorder, characterized by bilateral microtia, aplasia or hypoplasia of the patellae, and severe intrauterine and post-natal growth retardation. We describe the phenotype and report the medical history of a 25-year-old woman with MGS. Her phenotypic evolution was characterized by severe growth retardation with decelerated growth of the head and subsequently a relatively small head, normal intelligence, alteration of the facial features to a more proportionate appearance, improvement of joint function and incomplete breast development. Other characteristics of her phenotype in adulthood include a cheerful personality, a high forehead and accentuated naso-labial folds, relatively very small ears, hypoplastic breasts, and normal menstruation."
18,GARD:0002034,Thickened earlobes-conductive deafness syndrome,N/A,N/A,,N/A,N/A
19,GARD:0002035,Ebola virus disease,31828053,"['review-article', 'Review', 'Journal Article']",Infectious Disease Risk Across the Growing Human-Non Human Primate Interface: A Review of the Evidence.,https://pubmed.ncbi.nlm.nih.gov/31828053,"Most of the human pandemics reported to date can be classified as zoonoses. Among these, there is a long history of infectious diseases that have spread from non-human primates (NHP) to humans. For millennia, indigenous groups that depend on wildlife for their survival were exposed to the risk of NHP pathogens' transmission through animal hunting and wild meat consumption. Usually, exposure is of no consequence or is limited to mild infections. In rare situations, it can be more severe or even become a real public health concern. Since the emergence of acquired immune deficiency syndrome (AIDS), nobody can ignore that an emerging infectious diseases (EID) might spread from NHP into the human population. In large parts of Central Africa and Asia, wildlife remains the primary source of meat and income for millions of people living in rural areas. However, in the past few decades the risk of exposure to an NHP pathogen has taken on a new dimension. Unprecedented breaking down of natural barriers between NHP and humans has increased exposure to health risks for a much larger population, including people living in urban areas. There are several reasons for this: (i) due to road development and massive destruction of ecosystems for agricultural needs, wildlife and humans come into contact more frequently; (ii) due to ecological awareness, many long distance travelers are in search of wildlife discovery, with a particular fascination for African great apes; (iii) due to the attraction for ancient temples and mystical practices, others travelers visit Asian places colonized by NHP. In each case, there is a risk of pathogen transmission through a bite or another route of infection. Beside the individual risk of contracting a pathogen, there is also the possibility of starting a new pandemic. This article reviews the known cases of NHP pathogens' transmission to humans whether they are hunters, travelers, ecotourists, veterinarians, or scientists working on NHP. Although pathogen transmission is supposed to be a rare outcome, Rabies virus, Herpes B virus, Monkeypox virus, Ebola virus, or Yellow fever virus infections are of greater concern and require quick countermeasures from public health professionals."
20,GARD:0002035,Ebola virus disease,31101988,"['research-article', 'Journal Article']",The Natural Product Eugenol Is an Inhibitor of the Ebola Virus In Vitro.,https://pubmed.ncbi.nlm.nih.gov/31101988,"PURPOSE:Since the 2014 Ebola virus (EBOV) outbreak in West Africa there has been considerable effort towards developing drugs to treat Ebola virus disease and yet to date there is no FDA approved treatment. This is important as at the time of writing this manuscript there is an ongoing outbreak in the Democratic Republic of the Congo which has killed over 1000. METHODS:We have evaluated a small number of natural products, some of which had shown antiviral activity against other pathogens. This is exemplified with eugenol, which is found in high concentrations in multiple essential oils, and has shown antiviral activity against feline calicivirus, tomato yellow leaf curl virus, Influenza A virus, Herpes Simplex virus type 1 and 2, and four airborne phages. RESULTS:Four compounds possessed EC50 values less than or equal to 11 μM. Of these, eugenol, had an EC50 of 1.3 μM against EBOV and is present in several plants including clove, cinnamon, basil and bay. Eugenol is much smaller and structurally unlike any compound that has been previously identified as an inhibitor of EBOV, therefore it may provide new mechanistic insights. CONCLUSION:This compound is readily accessible in bulk quantities, is inexpensive, and has a long history of human consumption, which endorses the idea for further assessment as an antiviral therapeutic. This work also suggests that a more exhaustive assessment of natural product libraries against EBOV and other viruses is warranted to improve our ability to identify compounds that are so distinct from FDA approved drugs."
21,GARD:0002035,Ebola virus disease,30827277,"['Journal Article', 'case-report']",HIV prevalence in suspected Ebola cases during the 2014-2016 Ebola epidemic in Sierra Leone.,https://pubmed.ncbi.nlm.nih.gov/30827277,"BACKGROUND:The 2014-2016 Ebola virus epidemic in West Africa was the largest outbreak of Ebola virus disease (EVD) in history. Clarifying the influence of other prevalent diseases such as human immunodeficiency virus infection and acquired immune deficiency syndrome (HIV/AIDS) will help improve treatment and supportive care of patients with EVD. CASE PRESENTATION:We examined HIV and hepatitis C virus (HCV) antibody prevalence among suspected EVD cases from the Sierra Leone-China Friendship Biological Safety Laboratory during the epidemic in Sierra Leone. HIV and HCV antibodies were tested in 678 EVD-negative samples by enzyme-linked immunosorbent assay. A high HIV prevalence (17.6%) and low HCV prevalence (0.22%) were observed among the suspected cases. Notably, we found decreased HIV positive rates among the suspected cases over the course of the epidemic. This suggests a potentially beneficial effect of an improved public health system after assistance from the World Health Organization and other international aid organizations. CONCLUSIONS:This EVD epidemic had a considerable impact on the public health system and influenced the prevalence of HIV found among suspected cases in Sierra Leone, but also provided an opportunity to establish a better surveillance network for infectious diseases."
22,GARD:0002035,Ebola virus disease,30801721,"['Historical Article', 'Review', 'Journal Article']",An Overview of Zoonotic Disease Outbreaks and its Forensic Management Over Time.,https://pubmed.ncbi.nlm.nih.gov/30801721,"Most emerging or re-emerging infections are vector-borne or zoonotic and can be disseminated worldwide by infected humans or animals. They are a major public health problem and cause a great impact on economy. Zoonotic outbreaks began to be characterized in the 90s, after the creation of Europol and the FBI. Such investigations are carried by forensic pathologists and other specialists to determine whether an outbreak is natural or deliberate. This review will discuss ten zoonotic outbreaks nonrelated to wars focusing on forensic management. In conclusion, some points should be highlighted in the management of a zoonotic outbreak: (i) its diagnosis and detection by forensic pathologists and the coordination of efforts between other specialists are key factors; (ii) communication guidelines and an efficient healthcare system are crucial for any emergency response; (iii) biosafety of all specialists involved must be guaranteed."
23,GARD:0002035,Ebola virus disease,30304789,"['other', ""Research Support, Non-U.S. Gov't"", 'Review', 'Journal Article']","Ebola Virus Maintenance: If Not (Only) Bats, What Else?",https://pubmed.ncbi.nlm.nih.gov/30304789,"The maintenance mechanisms of ebolaviruses in African forest ecosystems are still unknown, but indirect evidences point at the involvement of some bat species. Despite intense research, the main bat-maintenance hypothesis has not been confirmed yet. The alternative hypotheses of a non-bat maintenance host or a maintenance community including, or not, several bat and other species, deserves more investigation. However, African forest ecosystems host a large biodiversity and abound in potential maintenance hosts. How does one puzzle out? Since recent studies have revealed that several bat species have been exposed to ebolaviruses, the common denominator to these hypotheses is that within the epidemiological cycle, some bats species must be exposed to the viruses and infected by these potential alternative hosts. Under this constraint, and given the peculiar ecology of bats (roosting behaviour, habitat utilisation, and flight mode), we review the hosts and transmission pathways that can lead to bat exposure and infection to ebolaviruses. In contrast to the capacity of bats to transmit ebolaviruses and other pathogens to many hosts, our results indicate that only a limited number of hosts and pathways can lead to the transmission of ebolaviruses to bats, and that the alternative maintenance host, if it exists, must be amongst them. A list of these pathways is provided, along with protocols to prioritise and investigate these alternative hypotheses. In conclusion, taking into account the ecology of bats and their known involvement in ebolaviruses ecology drastically reduces the list of potential alternative maintenance hosts for ebolaviruses. Understanding the natural history of ebolaviruses is a health priority, and investigating these alternative hypotheses could complete the current effort focused on the role of bats."
24,GARD:0002040,Ectodermal dysplasia alopecia preaxial polydactyly,N/A,N/A,,N/A,N/A
25,GARD:0002042,Ectodermal dysplasia arthrogryposis diabetes mellitus,N/A,N/A,,N/A,N/A
26,GARD:0002043,Ectodermal dysplasia Bartalos type,N/A,N/A,,N/A,N/A
27,GARD:0002044,Ectodermal dysplasia Berlin type,N/A,N/A,,N/A,N/A
28,GARD:0002045,Ectodermal dysplasia blindness,N/A,N/A,,N/A,N/A
29,GARD:0002048,Hypohidrotic ectodermal dysplasia autosomal dominant,N/A,N/A,,N/A,N/A
30,GARD:0002049,Hypohidrotic ectodermal dysplasia with hypothyroidism and ciliary dyskinesia,N/A,N/A,,N/A,N/A
31,GARD:0002050,Ectodermal dysplasia Margarita type,N/A,N/A,,N/A,N/A
32,GARD:0002051,Ectodermal dysplasia intellectual disability CNS malformation,N/A,N/A,,N/A,N/A
33,GARD:0002053,Ectodermal dysplasia neurosensory deafness,N/A,N/A,,N/A,N/A
34,GARD:0002055,Ectodermal dysplasia trichoodontoonychial type,N/A,N/A,,N/A,N/A
35,GARD:0002056,Clouston syndrome,31417880,"['Case Reports', 'case-report']",Novel Heterozygous Mutation in NFKB2 Is Associated With Early Onset CVID and a Functional Defect in NK Cells Complicated by Disseminated CMV Infection and Severe Nephrotic Syndrome.,https://pubmed.ncbi.nlm.nih.gov/31417880,"Nuclear factor kappa-B subunit 2 (NF-κB2/p100/p52), encoded by NFKB2 (MIM: 164012) belongs to the NF-κB family of transcription factors that play a critical role in inflammation, immunity, cell proliferation, differentiation and survival. Heterozygous C-terminal mutations in NFKB2 have been associated with early-onset common variable immunodeficiency (CVID), central adrenal insufficiency and ectodermal dysplasia. Only two previously reported cases have documented decreased natural killer (NK) cell cytotoxicity, and little is known about the role of NF-κB2 in NK cell maturation and function. Here we report a 13-year-old female that presented at 6 years of age with a history of early onset recurrent sinopulmonary infections, progressive hair loss, and hypogamaglobulinemia consistent with a clinical diagnosis of CVID. At 9 years of age she had cytomegalovirus (CMV) pneumonia that responded to ganciclovir treatment. Functional NK cell testing demonstrated decreased NK cell cytotoxicity despite normal NK cell numbers, consistent with a greater susceptibility to systemic CMV infection. Research exome sequencing (ES) was performed and revealed a novel de novo heterozygous nonsense mutation in NFKB2 (c.2611C>T, p.Gln871*) that was not carried by either of her parents. The variant was Sanger sequenced and confirmed to be de novo in the patient. At age 12, she presented with a reactivation of the systemic CMV infection that was associated with severe and progressive nephrotic syndrome with histologic evidence of pedicellar effacement and negative immunofluorescence. To our knowledge, this is the third NF-κB2 deficient patient in which an abnormal NK cell function has been observed, suggesting a role for non-canonical NF-κB2 signaling in NK cell cytotoxicity. NK cell function should be assessed in patients with mutations in the non-canonical NF-κB pathway to explore the risk for systemic viral infections that may lead to severe complications and impact patient survival. Similarly NF-κB2 should be considered in patients with combined immunodeficiency who have aberrant NK cell function. Further studies are needed to characterize the role of NF-κB2 in NK cell cytotoxic function."
